STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE,Election_Year
Pennsylvania,PA,5783621,10037436.0,3.3,50054.0,0.0,0.0,50054.0,9656146.0,59.9,57.62,2012
Rhode Island,RI,451593,838169.0,7.5,3249.0,0.0,0.0,3249.0,772057.0,58.49,53.88,2012
South Carolina,SC,1981516,3656261.0,3.5,21895.0,34945.0,6116.0,46532.0,3481760.0,56.91,54.2,2012
South Dakota,SD,368270,630180.0,1.9,3574.0,0.0,2761.0,6335.0,611872.0,60.19,58.44,2012
Tennessee,TN,2479733,4975501.0,3.3,28135.0,64430.0,13138.0,75421.0,4735888.0,52.36,49.84,2012
Texas,TX,7993851,19204782.0,13.5,157564.0,405473.0,112288.0,484753.0,16127383.0,49.57,41.62,2012
Utah,UT,1028786,1976573.0,7.0,6611.0,0.0,0.0,6611.0,1831602.0,56.17,52.05,2012
Vermont,VT,301793,501853.0,1.8,0.0,0.0,0.0,0.0,492820.0,61.24,60.14,2012
Virginia,VA,3888186,6345002.0,7.1,36425.0,52956.0,1983.0,66475.0,5828032.0,66.72,61.28,2012
Washington,WA,3172939,5329262.0,8.2,16355.0,88339.0,8895.0,72070.0,4820193.0,65.83,59.54,2012
West Virginia,WV,685099,1472182.0,0.8,7052.0,8573.0,2052.0,13648.0,1446756.0,47.35,46.54,2012
Wisconsin,WI,3084115,4411462.0,3.2,21987.0,46328.0,20023.0,66564.0,4203731.0,73.37,69.91,2012
Wyoming,WY,250701,441429.0,2.5,2163.0,5162.0,762.0,5661.0,424733.0,59.03,56.79,2012
